neighborhood,id,lat,lng
"Rego Park, Queens",295,40.72557219999999,-73.8624893
"Remsen Village, Brooklyn",285,40.6466536,-73.9131066
"Richmond Hill, Queens",298,40.6958,-73.8272
"Richmond Town, Staten Island",233,40.5673546,-74.1342726
"Richmond Valley, Staten Island",237,40.5201055,-74.22931129999999
"Ridgewood, Queens",301,40.7043986,-73.9018292
"Riverdale, Bronx",217,40.89961830000001,-73.9088276
"Rochdale, Queens",303,40.6769,-73.7728
"Rockaway Park, Queens",305,40.57978629999999,-73.8372237
"Roosevelt Island, Manhattan",148,40.76050310000001,-73.9509934
"Rosebank, Staten Island",241,40.7763877,-73.0485198
"Rosedale, Queens",307,40.6584068,-73.7389596
"Rossville, Staten Island",245,40.5456634,-74.21634279999999
"Roxbury, Queens",309,40.5671,-73.8902
"Rugby, Brooklyn",288,40.6408302,-73.96529989999999
"Sandy Ground, Staten Island",249,40.5409817,-74.21650819999999
"Schuylerville, Bronx",222,40.8367,-73.8338
"Sea Gate, Brooklyn",291,40.5768098,-74.0079781
"Seaside, Queens",311,40.5832,-73.8282
"Sheepshead Bay, Brooklyn",294,40.5953955,-73.94575379999999
"Shore Acres, Staten Island",253,40.6084816,-74.0684795
"Silver Lake, Staten Island",257,40.6245495,-74.0916944
"SoHo, Manhattan",153,40.723301,-74.0029883
"Somerville, Queens",313,40.5956,-73.7975
"Soundview, Bronx",227,40.8247728,-73.8695889
"South Beach, Staten Island",261,40.7763877,-73.0485198
"South Corona, Queens",315,40.735,-73.865
"South Jamaica, Queens",317,40.6808594,-73.7919103
"South Ozone Park, Queens",319,40.6764003,-73.8124984
"South Side, Brooklyn",297,40.7082,-73.9571
"South Village, Manhattan",158,40.7283451,-74.0028116
"Spring Creek, Brooklyn",300,40.6530977,-73.87425
"Springfield Gardens, Queens",321,40.6715916,-73.779798
"Spuyten Duyvil, Bronx",231,40.88116369999999,-73.9154069
"St. Albans, Queens",322,40.6895283,-73.76436880000001
"St. George, Staten Island",265,40.7763877,-73.0485198
"Stapleton, Staten Island",269,40.7763877,-73.0485198
"Starrett City, Brooklyn",302,40.6501402,-73.8837345
"Steinway, Queens",323,40.7745459,-73.9037477
"Stuyvesant Heights, Brooklyn",304,40.6824166,-73.9319933
"Stuyvesant Town, Manhattan",163,40.7316903,-73.9778494
"Sunnyside Gardens, Queens",325,40.7495045,-73.915069
"Sunnyside, Queens",324,40.7432759,-73.9196324
"Sunnyside, Staten Island",272,40.6128507,-74.1026407
"Sunset Park, Brooklyn",306,40.65272,-74.00933479999999
"Sutton Place, Manhattan",168,40.7576281,-73.961698
"Throgs Neck, Bronx",235,40.818399,-73.8213213
"Times Square, Manhattan",173,40.7579747,-73.9855426
"Todt Hill, Staten Island",275,40.7763877,-73.0485198
"Tompkins Park North, Brooklyn",308,40.72642949999999,-73.9817841
"Tompkinsville, Staten Island",278,40.7763877,-73.0485198
"Tottenville, Staten Island",281,40.5795317,-74.1502007
"Travis, Staten Island",284,40.5795317,-74.1502007
"Tribeca, Manhattan",178,40.7162692,-74.0086323
"Tudor City, Manhattan",183,40.74884910000001,-73.97161609999999
"Turtle Bay, Manhattan",188,40.7571,-73.9719
"Union Square, Manhattan",193,40.7358633,-73.9910835
"Unionport, Bronx",239,40.83034079999999,-73.8506737
"University Heights, Bronx",243,40.8575,-73.9097
"Upper East Side, Manhattan",198,40.7735649,-73.9565551
"Upper West Side, Manhattan",203,40.7870106,-73.9753676
"Utopia, Queens",326,40.7348094,-73.79323029999999
"Van Nest, Bronx",247,40.8415796,-73.8706949
"Vinegar Hill, Brooklyn",310,40.70371859999999,-73.98226830000002
"Wakefield, Bronx",251,40.89655,-73.8507279
"Wall Street, Manhattan",208,40.7060361,-74.0088256
"Ward Hill, Staten Island",287,40.5795317,-74.1502007
"Washington Heights, Manhattan",213,40.8417082,-73.9393554
"Weeksville, Brooklyn",312,40.6738462,-73.9250996
"West Brighton, Brooklyn",314,40.6270298,-74.10931409999999
"West Brighton, Staten Island",290,40.6270298,-74.10931409999999
"West Farms, Bronx",255,40.8430609,-73.8816001
"West Village, Manhattan",218,40.73468,-74.0047554
"Westchester Square, Bronx",259,40.839815,-73.8464802
"Westerleigh, Staten Island",293,40.621215,-74.1318094
"Whitestone, Queens",327,40.7920449,-73.8095574
"Williamsbridge, Bronx",263,40.8787602,-73.85283559999999
"Williamsburg, Brooklyn",316,40.7081156,-73.9570696
"Willowbrook, Staten Island",296,40.5795317,-74.1502007
"Windsor Terrace, Brooklyn",318,40.6539346,-73.9756567
"Woodhaven, Queens",328,40.6901,-73.8566
"Woodlawn, Bronx",267,40.8976347,-73.8668996
"Woodrow, Staten Island",299,40.5434385,-74.19764409999999
"Yorkville, Manhattan",223,40.7762,-73.9492
