,name,address,borough,source,validated_address
94,Aangan,"2701 Broadway, New York, NY",Manhattan,Zabiha,"2701 Broadway, New York, NY 10025, USA"
95,Brick Lane Curry House,"1664 3rd Avenue, New York, NY",Manhattan,Zabiha,"1664 3rd Ave, New York, NY 10128, USA"
96,Little Rascal,"163 Elizabeth Street, New York, NY",Manhattan,Zabiha,"163 Elizabeth St, New York, NY 10012, USA"
97,Naya Mezze & Grill,"1057 2nd Avenue, New York, NY",Manhattan,Zabiha,"1057 2nd Ave, New York, NY 10022, USA"
98,B&B,"165 West 26th Street, New York, NY",Manhattan,Zabiha,"Chelsea U, 165 W 26th St, New York, NY 10001, USA"
99,Bombay's,"60 Pearl Street, New York, NY",Manhattan,Zabiha,"60 Pearl St, New York, NY 10004, USA"
100,Jerusalem Restaurant,"2715 Broadway, New York, NY",Manhattan,Zabiha,"2715 Broadway, New York, NY 10025, USA"
101,Kennedy Fried Chicken,"1270 Saint Nicholas Avenue, New York, NY",Manhattan,Zabiha,"1270 St Nicholas Ave, New York, NY 10033, USA"
102,Kennedy Chicken & Sandwiches,"3789 Broadway, New York, NY",Manhattan,Zabiha,"3789 Broadway, New York, NY 10032, USA"
103,Pause Café,"3 Clinton Street, New York, NY",Manhattan,Zabiha,"3 Clinton St, Brooklyn, NY 11201, USA"
104,Zerza Moroccan Home Cooking,"320 East 6th Street, New York, NY",Manhattan,Zabiha,"320 E 6th St, New York, NY 10003, USA"
105,Arabesque,"4 East 36th Street, New York, NY",Manhattan,Zabiha,"4 E 36th St, New York, NY 10016, USA"
106,Sahara's,"513 2nd Avenue, New York, NY",Manhattan,Zabiha,"513 2nd Ave, New York, NY 10016, USA"
107,Milon,"93 1st Avenue, New York, NY",Manhattan,Zabiha,"93 1st Avenue, New York, NY 10009, USA"
108,Lincoln Fried Chicken,"576 West 125th Street, New York, NY",Manhattan,Zabiha,"576 W 125th St, New York, NY 10027, USA"
109,Kati Roll Company,"128 2nd Avenue, New York, NY",Manhattan,Zabiha,"128 2nd Ave, New York, NY 10003, USA"
110,Kati Roll Company,"685 3rd Avenue, New York, NY",Manhattan,Zabiha,"685 3rd Ave, New York, NY 10017, USA"
111,Hayaty,"103 Avenue A, New York, NY",Manhattan,Zabiha,"103 Avenue A, New York, NY 10009, USA"
112,Le Rêve Restaurant & Lounge,"125 East 54th Street, New York, NY",Manhattan,Zabiha,"125 E 54th St, New York, NY 10022, USA"
113,Moustache Pitza,"90 Bedford Street, New York, NY",Manhattan,Zabiha,"90 Bedford St, New York, NY 10014, USA"
114,Le Souk,"510 LaGuardia Place, New York, NY",Manhattan,Zabiha,"510 LaGuardia Pl, New York, NY 10012, USA"
115,Taste of Persia,"12 West 18th Street, New York, NY",Manhattan,Zabiha,"12 W 18th St, New York, NY 10011, USA"
116,Pasha,"70 West 71st Street, New York, NY",Manhattan,Zabiha,"70 W 71st St, New York, NY 10023, USA"
117,Balade,"208 1st Avenue, New York, NY",Manhattan,Zabiha,"208 1st Avenue, New York, NY 10009, USA"
118,Andaz,"1378 1st Avenue, New York, NY",Manhattan,Zabiha,"1378 1st Avenue, New York, NY 10021, USA"
119,La Nomade,"2795 8th Avenue, New York, NY",Manhattan,Zabiha,"2795 Frederick Douglass Blvd, New York, NY 10039, USA"
120,Sheezan,"183 Church Street, New York, NY",Manhattan,Zabiha,"183 Church St, New York, NY 10007, USA"
121,Shawarma Doner House,"70 West 39th Street, New York, NY",Manhattan,Zabiha,"70 W 39th St, New York, NY 10018, USA"
122,Utsav,"1185 Avenue of the Americas, New York, NY",Manhattan,Zabiha,"1185 6th Ave, New York, NY 10036, USA"
123,Bombay Duck Co.,"190 Bleecker Street, New York, NY",Manhattan,Zabiha,"190 Bleecker St, New York, NY 10012, USA"
124,Moti Mahal Delux,"1149 1st Avenue, New York, NY",Manhattan,Zabiha,"1149 1st Avenue, New York, NY 10065, USA"
125,Mirch Masala,"95 Macdougal Street, New York, NY",Manhattan,Zabiha,"95 MacDougal St, New York, NY 10012, USA"
126,Semsom Eatery,"2 Astor Place, New York, NY",Manhattan,Zabiha,"2 Astor Pl, New York, NY 10003, USA"
127,Halaal Food Cart,"302 West 37th Street, New York, NY",Manhattan,Zabiha,"302 W 37th St, New York, NY 10018, USA"
128,Café Fresco,"205 East 60th Street, New York, NY",Manhattan,Zabiha,"205 E 60th St, New York, NY 10022, USA"
129,Manousheh,"193 Bleecker Street, New York, NY",Manhattan,Zabiha,"193 Bleecker St, New York, NY 10012, USA"
130,Texas Chicken & Burgers,"3486 Broadway, New York, NY",Manhattan,Zabiha,"3486 Broadway, New York, NY 10031, USA"
131,Texas Chicken & Burgers,"471 Lenox Avenue, New York, NY",Manhattan,Zabiha,"471 Malcolm X Blvd, New York, NY 10030, USA"
132,Texas Chicken & Burgers,"151 East 103rd Street, New York, NY",Manhattan,Zabiha,"151 E 103rd St, New York, NY 10029, USA"
133,Texas Chicken & Burgers,"2144 Frederick Douglass Blvd., New York, NY",Manhattan,Zabiha,"2144 Frederick Douglass Blvd, New York, NY 10026, USA"
134,Alachi Masala,"488 Amsterdam Avenue, New York, NY",Manhattan,Zabiha,"488 Amsterdam Ave, New York, NY 10024, USA"
135,Persepolis,"1407 2nd Avenue, New York, NY",Manhattan,Zabiha,"1407 2nd Ave, New York, NY 10021, USA"
136,Spice Symphony,"182 Lexington Avenue, New York, NY",Manhattan,Zabiha,"Lexington Plaza, 182 Lexington Ave, New York, NY 10016, USA"
137,Desi Galli,"101 Lexington Avenue, New York, NY",Manhattan,Zabiha,"101 Lexington Ave, New York, NY 10016, USA"
138,indikitch,"25 West 23rd Street, New York, NY",Manhattan,Zabiha,"25 W 23rd St, New York, NY 10010, USA"
139,indikitch,"940 8th Avenue, New York, NY",Manhattan,Zabiha,"940 8th Ave, New York, NY 10019, USA"
140,Akdeniz,"19 West 46th Street, New York, NY",Manhattan,Zabiha,"19 W 46th St, New York, NY 10036, USA"
