name,platform_id,url,total_review_count,address,id,image_url,lat,lng,score
Omar's Mediterranean East Midtown,tV6Tgw6FS45BRHyQ207jag,https://www.yelp.com/biz/omars-mediterranean-east-midtown-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,603.0,"154 E 55th St,New York, NY 10022",5703,https://s3-media3.fl.yelpcdn.com/bphoto/oZ7n4se0c8R5EbJ2yorDng/o.jpg,40.759,-73.9693,1
Twisted Mexican Grill,iw5iI-jFXnDZaeiGt4Weaw,https://www.yelp.com/biz/twisted-mexican-grill-astoria?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,48.0,"18-33 Astoria Blvd,Astoria, NY 11102",5705,https://s3-media4.fl.yelpcdn.com/bphoto/fZQ_DtDQ8aRDtMKYMgzkVg/o.jpg,40.7724,-73.9264,4
The Casbah - Halal Cart,tNTXNCUta735nGb0nfSrKQ,https://www.yelp.com/biz/the-casbah-halal-cart-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,262.0,"66th St & Columbus Ave,New York, NY 10023",5706,https://s3-media2.fl.yelpcdn.com/bphoto/8QsltFQ1iVjD4kUDvh_ibA/o.jpg,40.7737,-73.9817,3
Afghan Kebab House II,hmNxdAbt0tiGm8_vPdXCSA,https://www.yelp.com/biz/afghan-kebab-house-ii-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,192.0,"1345 2nd Ave,New York, NY 10021",5707,https://s3-media2.fl.yelpcdn.com/bphoto/1f2bsFiK03IkYuavrlZ5aw/o.jpg,40.7681,-73.9592,5
Egyptian Halal Food,1iXZ_aVuD-P9ldWn7aX1lA,https://www.yelp.com/biz/egyptian-halal-food-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,4.0,"260 Convent Ave,New York, NY 10031",5708,https://s3-media1.fl.yelpcdn.com/bphoto/FPkJ050mN3ni0cvJDLX25Q/o.jpg,40.8214,-73.9483,2
Ravagh Persian Grill,ExvoimQ4LzY3UWtZ6m6Lgw,https://www.yelp.com/biz/ravagh-persian-grill-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,772.0,"11 E 30th St,New York, NY 10016",5709,https://s3-media1.fl.yelpcdn.com/bphoto/5eWf8gIZ4htHc74KZSyDRg/o.jpg,40.7457,-73.9854,3
Empire Halal Kabab & Grill,ymZ4iosnbNOMBC9kNo8Q8A,https://www.yelp.com/biz/empire-halal-kabab-and-grill-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,14.0,"1107 3rd Ave,New York, NY 10065",5710,https://s3-media3.fl.yelpcdn.com/bphoto/CuMZFOlizHt8SKO8YhnLUw/o.jpg,40.7652,-73.9639,1
Terry and Yaki,SaZZ363k55_E61DgDJX6BA,https://www.yelp.com/biz/terry-and-yaki-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,5.0,"215 E 68th St,New York, NY 10065",5711,https://s3-media1.fl.yelpcdn.com/bphoto/bFeSTVg3TsVIWoIAnwew_Q/o.jpg,40.7673,-73.963,4
Affy's Premium Grill,ib_28sDmqYlMUDnfjPsS7A,https://www.yelp.com/biz/affys-premium-grill-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,269.0,"1909 Coney Island Ave,Brooklyn, NY 11230",5216,https://s3-media4.fl.yelpcdn.com/bphoto/TxyZOonz6iOztizPZr1UBQ/o.jpg,40.6109,-73.9623,5
Texas Chicken & Burgers,rUWb_btpfFls-D05femodw,https://www.yelp.com/biz/texas-chicken-and-burgers-brooklyn-5?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,20.0,"1000 Coney Island Ave,Brooklyn, NY 11230",5222,https://s3-media3.fl.yelpcdn.com/bphoto/jPoASnGau6d1Vzcc1K440w/o.jpg,40.6332,-73.9672,5
