name,coordinates,borough,url
Big Boss Halal Chicken and Rice,"40.764918,-73.9551707",Manhattan,https://www.zabihah.com/biz/WBQyYpv70n
Hooda's Halal Food,"40.8073056,-73.9642983",Manhattan,https://www.zabihah.com/biz/ji8rtOxu4W
Little Gujrat Deli,"40.7996812,-73.9627757",Manhattan,https://www.zabihah.com/biz/MzRDhbMELP
Halal Food Cart,"40.7580271,-73.9818061",Manhattan,https://www.zabihah.com/biz/pK2QjSXb5Q
Halal Food Cart,"40.7484326,-73.9845368",Manhattan,https://www.zabihah.com/biz/P3G8eziHLf
Uskudar,"40.769637,-73.957767",Manhattan,https://www.zabihah.com/biz/tEYYKrxvBo
Mouez Halal Food Cart,"40.74309,-73.97402",Manhattan,https://www.zabihah.com/biz/EjvSmLVr9l
A La Turka,"40.7700884,-73.9576267",Manhattan,https://www.zabihah.com/biz/EvI9gJtxS9
Fahima Halal Food Cart,"40.7567813,-73.9826984",Manhattan,https://www.zabihah.com/biz/DUvbrBrJSq
Le Baobab,"40.802343,-73.9510933",Manhattan,https://www.zabihah.com/biz/bSpJmIgNBr
Gourmet Palace,"40.7459526062012,-73.9878234863281",Manhattan,https://www.zabihah.com/biz/xrPm2FMujZ
Penn Station Halal Cart,"40.75032,-73.991119",Manhattan,https://www.zabihah.com/biz/c7sU0rqtX8
Kebab & Curry In A Hurry,"40.8018929,-73.9344242",Manhattan,https://www.zabihah.com/biz/xDC3usYcM6
Casablanca Grill,"40.761618,-73.960492",Manhattan,https://www.zabihah.com/biz/Xe3xp8qg4D
The Halal Guys,"40.73234997689724,-73.98493967950344",Manhattan,https://www.zabihah.com/biz/d5DiMUWpRp
Chote Nawab,"40.745556,-73.977744",Manhattan,https://www.zabihah.com/biz/A2qe22yhni
Dhaba,"40.742409,-73.982952",Manhattan,https://www.zabihah.com/biz/BfXJzR75CU
Kharian Deli,"40.742821,-73.9969349",Manhattan,https://www.zabihah.com/biz/GBqyrcSK7s
Indian Fast Food,"40.7304004,-74.0002957",Manhattan,https://www.zabihah.com/biz/gq4ErQ5ofL
Casa La Femme,"40.7340458,-74.0080545",Manhattan,https://www.zabihah.com/biz/Gbe7lK3EeW
Chola,"40.742446,-73.982326",Manhattan,https://www.zabihah.com/biz/1npiIW4G2P
Ilili,"40.7444086,-73.9879156",Manhattan,https://www.zabihah.com/biz/ySneQBUVuX
Aangan,"40.7993344,-73.9687265",Manhattan,https://www.zabihah.com/biz/7ycZzolM3S
Brick Lane Curry House,"40.783552,-73.950933",Manhattan,https://www.zabihah.com/biz/pyvagoOwTT
Little Rascal,"40.7207892,-73.994925",Manhattan,https://www.zabihah.com/biz/ssCLCZxzb7
Naya Mezze & Grill,"40.758544,-73.966258",Manhattan,https://www.zabihah.com/biz/uNny5rUcs4
B&B,"40.7459173,-73.993616",Manhattan,https://www.zabihah.com/biz/x9NT2gMc8W
Bombay's,"40.703428,-74.011081",Manhattan,https://www.zabihah.com/biz/mdovuaPlzH
Jerusalem Restaurant,"40.7997549,-73.968584",Manhattan,https://www.zabihah.com/biz/uVN1nL641v
Kennedy Fried Chicken,"40.8444326,-73.937076",Manhattan,https://www.zabihah.com/biz/8FPKWvT6oK
Kennedy Chicken & Sandwiches,"40.834515,-73.9449619",Manhattan,https://www.zabihah.com/biz/7QSltMeGab
Pause Caf̩,"40.721219,-73.9841088",Manhattan,https://www.zabihah.com/biz/SaD6xdubs8
Zerza Moroccan Home Cooking,"40.7267856,-73.9875974",Manhattan,https://www.zabihah.com/biz/59rGmBXaS0
Arabesque,"40.749283,-73.983182",Manhattan,https://www.zabihah.com/biz/4P461QvIqY
Sahara's,"40.74148,-73.978636",Manhattan,https://www.zabihah.com/biz/lzsiv91Gqg
Milon,"40.7656286,-73.957915",Manhattan,https://www.zabihah.com/biz/nc30EvgTN1
Lincoln Fried Chicken,"40.8150606,-73.9581293",Manhattan,https://www.zabihah.com/biz/FK1H9Rm2WB
Kati Roll Company,"40.7282691,-73.9874902",Manhattan,https://www.zabihah.com/biz/kXzzeLbgrj
Kati Roll Company,"40.7515453,-73.9735893",Manhattan,https://www.zabihah.com/biz/TdObLofKxX
Hayaty,"40.7258509,-73.9838781",Manhattan,https://www.zabihah.com/biz/LWXuRz6fV3
Le R̻ve Restaurant & Lounge,"40.759487,-73.971087",Manhattan,https://www.zabihah.com/biz/hPbyiuB5gI
Moustache Pitza,"40.7322175,-74.0052123",Manhattan,https://www.zabihah.com/biz/JtTl8xYuZW
Le Souk,"40.7278801,-73.9993396",Manhattan,https://www.zabihah.com/biz/OCip97LhoC
Taste of Persia,"40.7388719,-73.9929549",Manhattan,https://www.zabihah.com/biz/gFeRGq4LMT
Pasha,"40.7764537,-73.9790728",Manhattan,https://www.zabihah.com/biz/gFojLwoC0O
Balade,"40.73025,-73.983001",Manhattan,https://www.zabihah.com/biz/rN3Zt3F6Bk
Andaz,"40.76872,-73.954887",Manhattan,https://www.zabihah.com/biz/UlT6eiKTI0
La Nomade,"40.825221,-73.940585",Manhattan,https://www.zabihah.com/biz/TFQ1x2Tac1
Sheezan,"40.7156607,-74.0070321",Manhattan,https://www.zabihah.com/biz/6QhAYYMzxD
Shawarma Doner House,"40.7526907,-73.9852977",Manhattan,https://www.zabihah.com/biz/grweE707LF
Utsav,"40.7578271,-73.9824347",Manhattan,https://www.zabihah.com/biz/Qix0UZekba
Bombay Duck Co.,"40.729076,-74.001533",Manhattan,https://www.zabihah.com/biz/xINO7Qp6sJ
Moti Mahal Delux,"40.7620943,-73.9604595",Manhattan,https://www.zabihah.com/biz/96GeSfquwW
Mirch Masala,"40.729529,-74.00114",Manhattan,https://www.zabihah.com/biz/HQ0nhcZszB
Semsom Eatery,"40.7298791,-73.9925831",Manhattan,https://www.zabihah.com/biz/5PCnzCvSmi
Halaal Food Cart,"40.7540758,-73.9926227",Manhattan,https://www.zabihah.com/biz/K5wxE5KzvV
Caf̩ Fresco,"40.7621449,-73.9655126",Manhattan,https://www.zabihah.com/biz/Oyw0yUNVdm
Manousheh,"40.7294444,-74.0013077",Manhattan,https://www.zabihah.com/biz/FVX3NSYM54
Texas Chicken & Burgers,"40.8246131,-73.9512472",Manhattan,https://www.zabihah.com/biz/FRt2GXWmoE
Texas Chicken & Burgers,"40.8132478,-73.941836",Manhattan,https://www.zabihah.com/biz/aTBZazMjJY
Texas Chicken & Burgers,"40.7902592,-73.9472408",Manhattan,https://www.zabihah.com/biz/G0NEnzeXQB
Texas Chicken & Burgers,"40.804158,-73.9552561",Manhattan,https://www.zabihah.com/biz/K5oLGy5tpS
Alachi Masala,"40.7861914,-73.9764569",Manhattan,https://www.zabihah.com/biz/aR5VWBedyT
Persepolis,"40.7698353,-73.9579965",Manhattan,https://www.zabihah.com/biz/YBXyoNHQxp
Spice Symphony,"40.744727,-73.9811948",Manhattan,https://www.zabihah.com/biz/OmZbnNLhvw
Desi Galli,"40.7420821,-73.982543",Manhattan,https://www.zabihah.com/biz/y3yA9UTmrz
indikitch,"40.7421758,-73.9904711",Manhattan,https://www.zabihah.com/biz/dZtBI0QUer
indikitch,"40.7656661,-73.9832355",Manhattan,https://www.zabihah.com/biz/bS0C1DkuZP
Akdeniz,"40.756666,-73.979916",Manhattan,https://www.zabihah.com/biz/pGfNzaqnOl
Kabab Bites,"40.7199353,-73.9958662",Manhattan,https://www.zabihah.com/biz/vBzT5kYPOZ
Souk & Sandwich,"40.7238104,-74.0050268",Manhattan,https://www.zabihah.com/biz/ZnfwClcVrJ
Indian Project,"40.7542964,-73.9902275",Manhattan,https://www.zabihah.com/biz/RPqp4Rmq1M
Balade Your Way,"40.7526259,-73.9885921",Manhattan,https://www.zabihah.com/biz/AQV05sDrrj
City Spice Caf̩,"40.740687,-73.981359",Manhattan,https://www.zabihah.com/biz/iLBFIKKqew
Cava Grill,"40.7337718,-73.9896361",Manhattan,https://www.zabihah.com/biz/kCiEA6sx9g
Fogo de Cḥo,"40.7611228,-73.9780123",Manhattan,https://www.zabihah.com/biz/t4RGLY2diM
Galata,"40.745244,-73.9776803",Manhattan,https://www.zabihah.com/biz/uOWdfK4EB5
Village Fried Chicken ,"40.8259088,-73.9467283",Manhattan,https://www.zabihah.com/biz/FG4gc12GsJ
Kottu House,"40.7182032,-73.9896577",Manhattan,https://www.zabihah.com/biz/36eHq4CQv1
Marc Forgione,"40.7165695,-74.0095233",Manhattan,https://www.zabihah.com/biz/JlLd51balX
Da Falafel Guys,"40.7195221,-73.9871813",Manhattan,https://www.zabihah.com/biz/eSTuPUxjqy
Berber Street Food,"40.7302497,-74.0033643",Manhattan,https://www.zabihah.com/biz/Cr1xH6OMmK
Minetta Tavern,"40.7299881,-74.0007016",Manhattan,https://www.zabihah.com/biz/Cv2QomCcUH
Sumela Mediterranean Caf̩ & Grill,"40.7749974,-73.9504001",Manhattan,https://www.zabihah.com/biz/VQqo7DxjTE
Cinnamon Garden,"40.7266901,-73.9872499",Manhattan,https://www.zabihah.com/biz/PLeeH6rz1d
Top Thai,"40.7297752,-73.9994047",Manhattan,https://www.zabihah.com/biz/MPsvQBdbis
Tabouleh,"40.7613639,-73.9907959",Manhattan,https://www.zabihah.com/biz/At0Gkv5uwZ
Zeytin,"40.7087856,-74.0068304",Manhattan,https://www.zabihah.com/biz/1anpFW7qzG
Kusharista,"40.7294154,-74.0007476",Manhattan,https://www.zabihah.com/biz/GesRy1CDcq
Bali Kitchen,"40.7252683,-73.9875712",Manhattan,https://www.zabihah.com/biz/xDt1PYr89W
Salam Caf̩,"40.7367323,-73.9979586",Manhattan,https://www.zabihah.com/biz/3H7aRDFHBT
Byblos,"40.7442763,-73.9858954",Manhattan,https://www.zabihah.com/biz/dcFGVGmueW
Gardenia Terrace,"40.7675768,-73.9892241",Manhattan,https://www.zabihah.com/biz/E1wi4FCUBN
Miraj Healthy Grill,"40.7464441,-73.9802022",Manhattan,https://www.zabihah.com/biz/sI03NrQ1KH
Panorama,"40.7329154,-73.9909486",Manhattan,https://www.zabihah.com/biz/8mrOAG8HYd
Masala King,"40.749528,-73.9876174",Manhattan,https://www.zabihah.com/biz/u9ifMfnlnq
This is Gyro,"40.7156902,-74.0076053",Manhattan,https://www.zabihah.com/biz/BBEpPE7SFj
NYU Lipton Dining Hall,"40.7317265,-73.9996036",Manhattan,https://www.zabihah.com/biz/CSXBbojRYL
Kennedy Fried Chicken,"40.7974902,-73.9491849",Manhattan,https://www.zabihah.com/biz/IoTq8IRm92
Crown Fried Chicken,"40.7949725,-73.9445009",Manhattan,https://www.zabihah.com/biz/wdbNVyhrnG
Cava Grill,"40.7416419,-73.9933102",Manhattan,https://www.zabihah.com/biz/AEzwXq7AcH
Cava Grill,"40.740879,-73.985488",Manhattan,https://www.zabihah.com/biz/IrIjHM8mWB
Cava Grill,"40.752845,-73.987626",Manhattan,https://www.zabihah.com/biz/CrURzWtpGh
Cava Grill,"40.7541476,-73.9818586",Manhattan,https://www.zabihah.com/biz/r8gQ54iKII
Cava Grill,"40.7218736,-73.9965295",Manhattan,https://www.zabihah.com/biz/SxsLBKNiCA
Afandi Asian Grill,"40.7284627,-73.9850071",Manhattan,https://www.zabihah.com/biz/zHKtKA6i3q
Accra,"40.8076608,-73.9487865",Manhattan,https://www.zabihah.com/biz/g7sKWNu7sC
Skewr Kabob Kitchen,"40.7404492,-73.9875762",Manhattan,https://www.zabihah.com/biz/yqH6BN7lKk
Teranga,"40.7961886,-73.949116",Manhattan,https://www.zabihah.com/biz/xFRGTUHgbA
Toum,"40.754707,-73.991633",Manhattan,https://www.zabihah.com/biz/p5d2Sg3vAe
Lezzet,"40.7634701,-73.9678252",Manhattan,https://www.zabihah.com/biz/qE5jDTWxZK
The Hummus & Pita Co.,"40.7392013,-73.9959348",Manhattan,https://www.zabihah.com/biz/oKHnP2udm1
The Hummus & Pita Co.,"40.7146474,-74.006858",Manhattan,https://www.zabihah.com/biz/Jqp65JyLSa
The Hummus & Pita Co.,"40.7557131,-73.9906592",Manhattan,https://www.zabihah.com/biz/Uvs9pgyV5z
Champion Pizza,"40.7197418,-73.9877989",Manhattan,https://www.zabihah.com/biz/RKZTDv7O4C
Aladdin Grill & Rice,"40.8505637,-73.9376813",Manhattan,https://www.zabihah.com/biz/sVRhVphTgV
Bombay Chowk,"40.7687153,-73.9549647",Manhattan,https://www.zabihah.com/biz/pUH8bKSVVB
Afghan Kebab House,"40.764185,-73.988244",Manhattan,https://www.zabihah.com/biz/kBik5O46Rh
Cuisine of Pakistan,"40.7549783,-73.9948512",Manhattan,https://www.zabihah.com/biz/MH1jIJhaKB
Omar's Mediterranean Grill,"40.7591886,-73.9691586",Manhattan,https://www.zabihah.com/biz/mk6TU40qoh
Kati Roll Company,"40.757405,-73.968071",Manhattan,https://www.zabihah.com/biz/RtZCSSCCQk
Bukhara Grill,"40.755124,-73.970631",Manhattan,https://www.zabihah.com/biz/ukq9oNBMe5
Chandni,"40.745905,-73.987711",Manhattan,https://www.zabihah.com/biz/xkbmIMqu3a
Rafiqi's Halal Food Cart,"40.7310667,-73.9919704",Manhattan,https://www.zabihah.com/biz/0nYPpowSPM
Biryani Cart,"40.7573947,-73.9822628",Manhattan,https://www.zabihah.com/biz/RnPgrcFbti
KFC,"40.82987,-73.9483382",Manhattan,https://www.zabihah.com/biz/fXMNfjL2BB
AnTalia,"40.756012,-73.980306",Manhattan,https://www.zabihah.com/biz/VlNamNvaoV
Khyber Pass,"40.72864,-73.988379",Manhattan,https://www.zabihah.com/biz/6pw6x427mh
Pakistan Tea House,"40.7156073,-74.0076212",Manhattan,https://www.zabihah.com/biz/s87rgoFEeX
Curry Hut,"40.7568264,-73.9936103",Manhattan,https://www.zabihah.com/biz/oVxy8lwV57
Big Arc Chicken,"40.7311945,-73.9829827",Manhattan,https://www.zabihah.com/biz/pHLitAJXUh
Queen Sheeba,"40.8208081,-73.9447675",Manhattan,https://www.zabihah.com/biz/xasxNWBtLJ
Kati Roll Company,"40.7296885,-74.0011688",Manhattan,https://www.zabihah.com/biz/injM6ubs0R
Hudson Halal Food Cart,"40.713351,-74.0121273",Manhattan,https://www.zabihah.com/biz/J0aW5mRAVT
Sammi's Halal Cart,"40.7317,-74.000959",Manhattan,https://www.zabihah.com/biz/gwN7TjJsv6
Salt and Pepper,"40.750927,-73.98936",Manhattan,https://www.zabihah.com/biz/7SSvFkRDuA
No Pork Halal Kitchen,"40.793148,-73.940944",Manhattan,https://www.zabihah.com/biz/mdeDj2PQhM
Haandi,"40.742462,-73.982577",Manhattan,https://www.zabihah.com/biz/ZY7uUSz2oW
Halal Chicken at Columbia U,"40.8081,-73.964",Manhattan,https://www.zabihah.com/biz/EkeGU4JqYn
Halal Cart Vendor,"40.7074,-74.0041",Manhattan,https://www.zabihah.com/biz/afVTYFcPJB
Halal Village,"40.724143,-73.988031",Manhattan,https://www.zabihah.com/biz/yT7BIcwmFF
Chicken Guy Cart,"40.8422,-73.9423",Manhattan,https://www.zabihah.com/biz/LxrcZAUa5b
Sammy's Halal Cart,"40.7284,-73.9943",Manhattan,https://www.zabihah.com/biz/6Kbn7aXMya
Kimmel Market Place,"40.7299366,-73.9978275",Manhattan,https://www.zabihah.com/biz/KxneecxQ17
Halal Cart,"40.72258,-74.006309",Manhattan,https://www.zabihah.com/biz/fZReEd3oYZ
Adel's Halal Food,"40.7598896,-73.9804421",Manhattan,https://www.zabihah.com/biz/LCw0ZqSwiO
Halal Food Cart,"40.752159,-73.987491",Manhattan,https://www.zabihah.com/biz/nKv5HiWOat
Bombay Deli,"40.754538,-73.9949841",Manhattan,https://www.zabihah.com/biz/7zttRYyOKs
Sheezaan,"40.715736,-74.007289",Manhattan,https://www.zabihah.com/biz/7WvjMSsmKO
The MasalaWala,"40.721573,-73.986657",Manhattan,https://www.zabihah.com/biz/BSLCUMI3fQ
The Halal Guys,"40.7617697864771,-73.9790602773428",Manhattan,https://www.zabihah.com/biz/FV9fjDhOQ1
The Halal Guys,"40.76296001672745,-73.98190006613731",Manhattan,https://www.zabihah.com/biz/ptfyjIzRAE
Salaam Bombay,"40.7169975,-74.0106249",Manhattan,https://www.zabihah.com/biz/2zf3M54W0T
B & D Halal,"40.7478016,-73.9922881",Manhattan,https://www.zabihah.com/biz/s4aVRdom4y
Indo Pak Halal,"40.7942515,-73.9398034",Manhattan,https://www.zabihah.com/biz/DQjLcHCZmq
Kati Roll Company,"40.752803,-73.984577",Manhattan,https://www.zabihah.com/biz/1bGh5eWBCA
Bhatti Indian Grill,"40.74222,-73.98309",Manhattan,https://www.zabihah.com/biz/cq39aSbxkC
Au Za'atar,"40.7288533,-73.9811442",Manhattan,https://www.zabihah.com/biz/xCPnrJVAoF
Baluchi's,"40.7551156,-73.9821244",Manhattan,https://www.zabihah.com/biz/Gmch6AtTUr
The Halal Guys,"40.793661,-73.970994",Manhattan,https://www.zabihah.com/biz/UjstBfCg5g
Pikine African Restaurant,"40.8041966,-73.9544184",Manhattan,https://www.zabihah.com/biz/qf0zVUEARH
Nusr-Et Steakhouse,"40.761254,-73.978765",Manhattan,https://www.zabihah.com/biz/rxcfKby2z4
Z Deli & Pizza,"40.7614326,-73.9869702",Manhattan,https://www.zabihah.com/biz/pNyd9f9KCD
Curry in a Hurry,"40.742638,-73.982139",Manhattan,https://www.zabihah.com/biz/QodiFLAKiE
Seven's Turkish Grill,"40.778015,-73.98099",Manhattan,https://www.zabihah.com/biz/XkVeYuylc3
Anka Grill,"40.7593494,-73.9705382",Manhattan,https://www.zabihah.com/biz/yDdlhfhuDv
Diwan e Khaas,"40.7090346,-74.0091352",Manhattan,https://www.zabihah.com/biz/JAZGiYCJSP
Crown Fried Chicken,"40.7982574,-73.9416842",Manhattan,https://www.zabihah.com/biz/b8QUyMMJ8P
Great Sphinx Halal Food,"40.7420687,-74.0043379",Manhattan,https://www.zabihah.com/biz/55g6xGIfXW
Halal Food Cart,"40.76011,-73.98482",Manhattan,https://www.zabihah.com/biz/62pZbcHhd4
Lemony Greek Yeero Bar,"40.7518385,-73.991313",Manhattan,https://www.zabihah.com/biz/Ug1rP4qg1q
Love Mama,"40.7303859,-73.9860613",Manhattan,https://www.zabihah.com/biz/QviI4jRq2J
Ashoka Grill,"40.635562,-73.9510279",Brooklyn,https://www.zabihah.com/biz/DuijmRsDwd
Lutheran Halal Caf̩,"40.6480677,-74.0179686",Brooklyn,https://www.zabihah.com/biz/d9LpY9WOYM
Istanbul Park,"40.667791,-73.980478",Brooklyn,https://www.zabihah.com/biz/rErIPSugbB
Sahara Sweets & Bakery,"40.632453,-73.967181",Brooklyn,https://www.zabihah.com/biz/PpUZnSVqNF
Crown Fried Chicken,"40.680117,-73.940578",Brooklyn,https://www.zabihah.com/biz/aP4WEWG8rM
Mazedar Zabiha Halal Meat & Grocery,"40.6411059,-73.9691875",Brooklyn,https://www.zabihah.com/biz/QCJINLZXZm
Kashmir Grill,"40.637501,-73.968636",Brooklyn,https://www.zabihah.com/biz/MrVo0MXlHa
Opera Caf̩ Lounge,"40.5838731,-73.9446717",Brooklyn,https://www.zabihah.com/biz/v6kCGjOmX5
Greenhouse,"40.642355,-73.979884",Brooklyn,https://www.zabihah.com/biz/AzgPXiq0pt
Kofte Piyaz,"40.6514343,-74.003583",Brooklyn,https://www.zabihah.com/biz/9oSfORo4nr
Khan's Gyro & Fried Chicken,"40.6018939,-74.0023359",Brooklyn,https://www.zabihah.com/biz/aCSmVL8ndS
Flatbush Halal Restaurant,"40.640733,-73.956189",Brooklyn,https://www.zabihah.com/biz/ZETQV94urK
Sweetness USA,"40.6296198,-73.9661661",Brooklyn,https://www.zabihah.com/biz/DoumW8ebH1
Java Rijsttafel,"40.662645,-73.9847769",Brooklyn,https://www.zabihah.com/biz/WfSXcRFEdO
Beyti Turkish Kebab,"40.577072,-73.9627471",Brooklyn,https://www.zabihah.com/biz/9pddjFJcEG
Dar 525,"40.7112458,-73.9503412",Brooklyn,https://www.zabihah.com/biz/oa5x28KTWy
Sahara Ark,"40.6838129,-73.9676444",Brooklyn,https://www.zabihah.com/biz/BHABhySp46
