name,address,tags
Irving Farm New York,"New York, NY","['Coffee & Tea', 'Cafes']"
PROOF Coffee Roasters,"New York, NY","['Coffee & Tea', 'Desserts']"
Perk Kafe,"New York, NY","['Coffee & Tea', 'Bakeries']"
Bibble & Sip,"New York, NY","['Coffee & Tea', 'Bakeries']"
Stumptown Coffee Roasters,"New York, NY","['Coffee & Tea', 'Coffee Roasteries']"
Levain Bakery,"New York, NY",['Bakeries']
Tanoreen,"Brooklyn, NY","['Middle Eastern', 'Mediterranean']"
Greecologies,"New York, NY","['Juice Bars & Smoothies', 'Ice Cream & Frozen Yogurt']"
Maman Soho,"New York, NY","['Cafes', 'Bakeries']"
Little Rascal,"New York, NY","['Middle Eastern', 'Turkish']"
Akdeniz Mediterranean Restaurant,"New York, NY","['Turkish', 'Mediterranean']"
Abraço,"New York, NY","['Coffee Roasteries', 'Bakeries']"
Bread Love,"Bedford-Stuyvesant, NY","['Salad', 'Breakfast & Brunch']"
FREEHOLD,"Brooklyn, NY","['Coffee & Tea', 'Bars']"
The Wooden Spoon,"New Rochelle, NY","['Burgers', 'American (Traditional)']"
Stick With Me,"New York, NY","['Chocolatiers & Shops', 'Desserts']"
Hedonist Artisan Chocolates,"Rochester, NY",['Chocolatiers & Shops']
Petite Shell,"New York, NY","['Kosher', 'Breakfast & Brunch']"
Brado,"Brooklyn, NY",['Pizza']
La Goulette,"Brooklyn, NY","['Mediterranean', 'Middle Eastern']"
Zenkichi New York,"Brooklyn, NY",['Japanese']
Café Moto,"Brooklyn, NY","['Cafes', 'Bars']"
Pepe Rosso Social,"New York, NY",['Italian']
Cacao Market by MarieBelle,"Brooklyn, NY",['Chocolatiers & Shops']
Penny House Cafe,"Brooklyn, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Kalustyan’s,"New York, NY",['Herbs & Spices']
Balady Foods,"Brooklyn, NY","['Grocery', 'Meat Shops']"
Dual Specialty Store,"New York, NY",['Grocery']
Miss Saigon Bistro,"Coral Gables, FL","['Vietnamese', 'Noodles']"
WTF Coffee Lab,"Brooklyn, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Press Coffee,"Rochester, NY",['Coffee & Tea']
Java’s Cafe,"Rochester, NY","['Coffee & Tea', 'Cafes']"
Tandoori Hut,"Richmond Hill, NY","['Indian', 'Halal']"
Rose Bengal Food,"Ozone Park, NY","['American (New)', 'Indian']"
Brooklyn Kolache,"Brooklyn, NY","['Coffee & Tea', 'Bakeries']"
Beny’s Delice,"Brooklyn, NY","['Coffee & Tea', 'Bakeries']"
Baba Cool,"Brooklyn, NY",['Cafes']
Greenlight Bookstore,"Brooklyn, NY",['Bookstores']
Gantry Plaza State Park,"Long Island City, NY",['Parks']
Sugar Sweet Sunshine Bakery,"New York, NY",['Bakeries']
Darbar Grill,"New York, NY","['Indian', 'Buffets']"
Manousheh,"New York, NY","['Lebanese', 'Halal']"
Zaika Indian Cuisine,"North Miami, FL",['Indian']
Blitzen Benz Auto Repair,"South Miami, FL",['Auto Repair']
Rendez-Vous Bakery,"Aventura, FL","['French', 'Breakfast & Brunch']"
Le Pain Quotidien,"New York, NY","['Bakeries', 'Breakfast & Brunch']"
Shibui,"Sunset, FL","['Japanese', 'Sushi Bars']"
Darna Lounge,"Boca Raton, FL",['Pizza']
Manhattan Bakery,"Sunny Isles Bch, FL","['Bakeries', 'Coffee & Tea']"
La Provence,"North Miami Beach, FL","['Bakeries', 'French']"
Andala Coffee House,"Cambridge, MA","['Middle Eastern', 'Breakfast & Brunch']"
